	Temps [s]	T1MID [°C]	
767	46,391	64,91	
768	46,491	64,832	
769	46,591	64,757	
770	46,691	64,684	
771	46,791	64,615	
772	46,891	64,55	
773	46,991	64,491	
774	47,091	64,437	
775	47,191	64,39	
776	47,291	64,35	
777	47,391	64,315	
778	47,491	64,288	
779	47,591	64,266	
780	47,691	64,25	
781	47,791	64,239	
782	47,891	64,233	
783	47,991	64,23	
784	48,091	64,231	
785	48,191	64,235	
786	48,291	64,24	
787	48,391	64,247	
788	48,491	64,255	
789	48,591	64,263	
790	48,691	64,271	
791	48,791	64,278	
792	48,891	64,284	
793	48,991	64,289	
794	49,091	64,292	
795	49,191	64,293	
796	49,291	64,293	
797	49,391	64,29	
798	49,491	64,284	
799	49,591	64,276	
800	49,691	64,265	
801	49,791	64,252	
802	49,891	64,235	
803	49,991	64,216	
804	50,091	64,195	
805	50,191	64,17	
806	50,291	64,143	
807	50,391	64,113	
808	50,491	64,081	
809	50,591	64,046	
810	50,691	64,009	
811	50,791	63,969	
812	50,891	63,927	
813	50,991	63,883	
814	51,091	63,837	
815	51,191	63,789	
816	51,291	63,739	
817	51,391	63,687	
818	51,453	63,654	
819	51,515	63,621	
820	51,516	63,621	
821	51,517	63,62	
822	51,52	63,618	
823	51,525	63,616	
824	51,53	63,613	
825	51,535	63,61	
826	51,54	63,608	
827	51,545	63,605	
828	51,55	63,602	
829	51,555	63,599	
830	51,56	63,597	
831	51,565	63,594	
832	51,57	63,591	
833	51,575	63,588	
834	51,58	63,586	
835	51,585	63,583	
836	51,59	63,58	
837	51,595	63,577	
838	51,6	63,575	
839	51,6	63,575	
840	51,6	63,574	
841	51,6	63,574	
842	51,601	63,574	
843	51,601	63,574	
844	51,701	63,517	
845	51,801	63,459	
846	51,901	63,399	
847	52,075	63,293	
848	52,35	63,124	
849	52,746	62,904	
850	53,246	62,685	
851	53,746	62,527	
852	54,246	62,415	
853	54,746	62,328	
854	55,246	62,246	
855	55,746	62,154	
856	56,246	62,043	
857	56,746	61,907	
858	57,246	61,746	
859	57,601	61,619	
